,MW,TPSA,XLogP,NHD,NHA,NRB
291,218.28,106.0,1.8,2,3,2
292,170.17,75.3,0.0,2,3,1
293,244.22,78.9,-0.3,2,5,2
294,237.25,70.8,0.8,1,4,5
295,325.27,205.0,-4.8,8,10,10
296,424.5,124.0,1.6,4,7,11
297,395.4,65.1,2.5,0,6,6
298,329.4,39.7,3.5,1,5,4
299,167.2,66.5,-0.4,3,3,2
300,254.12,29.1,2.7,1,1,3
301,317.22,16.1,3.9,0,2,4
302,390.4,138.0,0.2,2,7,7
303,396.4,167.0,-0.4,2,8,7
304,159.23,63.3,-1.6,2,3,5
305,307.4,12.5,4.5,0,2,4
306,151.16,49.3,0.7,2,2,1
307,269.14,32.3,1.1,1,2,0
308,211.41,0.0,3.2,0,3,1
309,332.5,54.4,3.2,1,3,1
310,100.2,0.0,3.7,0,0,3
311,86.18,0.0,3.2,0,0,2
312,98.14,20.2,0.8,1,1,2
313,166.96,54.4,0.5,1,3,2
314,193.24,63.3,0.6,2,2,4
315,299.4,41.9,1.1,1,4,1
316,153.18,40.5,0.9,1,3,1
317,496.6,93.1,3.6,2,7,3
318,267.24,140.0,-1.1,4,8,2
319,853.9,221.0,2.5,4,14,14
320,198.22,75.3,1.2,2,3,3
321,347.5,23.5,4.6,1,2,1
322,414.5,84.4,3.1,0,6,7
323,175.23,36.4,0.9,2,1,2
324,252.27,58.9,1.3,1,2,0
325,142.2,18.5,2.1,0,2,7
326,527.5,186.0,2.2,5,11,5
327,181.23,40.5,1.8,1,3,3
328,209.28,40.5,2.8,1,3,5
329,195.26,40.5,2.3,1,3,4
330,204.23,83.7,0.9,2,5,2
331,153.14,83.6,1.3,3,4,1
332,198.22,37.3,3.5,1,2,2
333,474.4,52.6,3.7,1,5,6
334,180.55,0.0,3.8,0,3,0
335,513.5,197.0,1.3,6,11,4
336,457.5,165.0,-0.6,5,9,3
337,206.22,23.6,0.5,0,3,1
338,324.8,63.3,1.6,1,4,1
339,341.8,50.4,3.4,1,4,1
340,201.2,106.0,0.5,2,5,2
341,351.4,138.0,-1.3,3,6,4
342,462.5,138.0,1.8,3,8,7
343,460.5,138.0,1.8,3,8,7
344,475.6,200.0,-4.2,8,12,8
345,103.12,63.3,-3.2,2,3,3
346,188.18,110.0,-1.4,3,4,5
347,176.17,46.5,1.9,1,3,0
348,319.0,36.4,2.0,2,1,2
